Result,total,type
L,-19.2,eFG
L,-11.8,eFG
W,-2.5,eFG
W,19.6,eFG
W,18.3,eFG
L,-5.8,eFG
W,0,eFG
L,-14,eFG
W,32.4,eFG
W,1.9,eFG
L,-13.8,eFG
W,-1,eFG
L,-3.1,eFG
W,8.4,eFG
W,5.9,eFG
W,-0.8,eFG
L,-4.4,eFG
W,-11.9,eFG
W,4.5,eFG
W,-16.7,eFG
L,-11,eFG
L,-7.4,eFG
W,4.2,eFG
W,-3.7,eFG
L,-3.6,eFG
L,-7,eFG
W,5.9,eFG
W,12,eFG
W,-4.5,eFG
L,-17.5,eFG
W,15.6,eFG
L,-12.9,eFG
W,3,eFG
W,11,eFG
W,-3.2,eFG
L,-8.9,eFG
L,-4.7,eFG
L,0.2,eFG
L,-16.8,eFG
L,9.4,eFG
L,-10.2,eFG
L,-13.4,eFG
W,5.4,eFG
W,18.7,eFG
L,1.5,eFG
L,-9.3,eFG
L,-5.2,eFG
L,-7.8,eFG
L,-16.3,eFG
W,-3.5,eFG
W,1.5,eFG
L,-16.3,eFG
L,-7.2,eFG
L,-0.8,eFG
L,-22.3,eFG
W,2.5,eFG
L,-15.5,eFG
W,-1.9,eFG
W,3.6,eFG
W,9.7,eFG
W,4.9,eFG
W,12.3,eFG
L,-18.9,eFG
W,12.1,eFG
W,-2.3,eFG
L,-9,eFG
W,2.3,eFG
W,8.9,eFG
W,3.8,eFG
W,-2.8,eFG
W,-12.4,eFG
W,9.4,eFG
W,11.7,eFG
W,39.6,eFG
L,-23.3,eFG
W,-0.6,eFG
W,7.4,eFG
W,-3.6,eFG
W,21.5,eFG
W,10.8,eFG
W,5.2,eFG
W,-2.9,eFG
L,-24.9,eFG
W,5.1,eFG
W,17.7,eFG
W,0.5,eFG
W,13.6,eFG
L,-1.6,eFG
W,7.7,eFG
W,11.4,eFG
L,-22.9,eFG
W,4.5,eFG
L,-9.8,eFG
W,18.2,eFG
W,19.7,eFG
W,8,eFG
W,14.3,eFG
W,11.6,eFG
L,-22.8,eFG
W,17.8,eFG
L,0,eFG
W,-1.9,eFG
W,3.7,eFG
W,11,eFG
L,-9.5,eFG
L,2.1,eFG
W,0.8,eFG
W,6,eFG
W,11.8,eFG
W,0.4,eFG
W,-9.5,eFG
W,12.6,eFG
L,1.6,eFG
L,1,eFG
L,-6.3,eFG
W,-6.3,eFG
W,7.7,eFG
W,5.1,eFG
W,7.4,eFG
L,-15.8,eFG
L,-11.4,eFG
W,-3.5,eFG
W,8.7,eFG
L,-6.5,eFG
W,3.8,eFG
W,26.6,eFG
W,24.9,eFG
W,-0.9,eFG
W,10.5,eFG
L,-23.7,eFG
W,11.8,eFG
W,7.8,eFG
W,9.1,eFG
W,-3.3,eFG
W,1.2,eFG
W,-2.3,eFG
W,-1.4,eFG
W,2.2,eFG
W,12.3,eFG
W,-7.9,eFG
W,13.5,eFG
L,-15.8,eFG
W,18.8,eFG
W,4.3,eFG
L,-1.1,eFG
W,5.1,eFG
W,-5.7,eFG
W,23,eFG
W,8.8,eFG
L,-8.3,eFG
W,1.4,eFG
W,-9.8,eFG
L,-6.5,eFG
W,-0.9,eFG
W,-4.3,eFG
W,4.1,eFG
W,-5,eFG
W,6.3,eFG
W,14.9,eFG
W,-2.4,eFG
L,-7.5,eFG
W,8.6,eFG
W,18.1,eFG
L,-0.9,eFG
W,-13.5,eFG
W,-1.6,eFG
W,23.7,eFG
L,-11.5,eFG
W,6.3,eFG
W,23.8,eFG
W,18.5,eFG
W,4.5,eFG
W,16.6,eFG
W,13.1,eFG
W,12.7,eFG
L,-15.1,eFG
W,9.9,eFG
W,1.1,eFG
W,8.9,eFG
W,10.3,eFG
W,2.5,eFG
W,11.4,eFG
W,12.8,eFG
W,15.2,eFG
W,-8.6,eFG
W,0.1,eFG
L,6.8,eFG
W,8.5,eFG
W,12.9,eFG
L,-3.3,eFG
W,22.7,eFG
W,7.6,eFG
L,13.8,eFG
L,-10.4,eFG
W,4.3,eFG
W,-8.1,eFG
W,-1.4,eFG
W,-1.9,eFG
W,4.9,eFG
W,5.5,eFG
W,4.8,eFG
W,7.7,eFG
W,8.2,eFG
W,-1.5,eFG
W,2.7,eFG
W,6.1,eFG
L,1.5,eFG
W,15.7,eFG
W,-0.5,eFG
W,4.8,eFG
W,-0.2,eFG
L,-2.7,eFG
W,4.2,eFG
W,13,eFG
W,10,eFG
L,0.9,eFG
W,5.2,eFG
W,17.5,eFG
L,-6.3,eFG
W,14.1,eFG
W,8.5,eFG
W,9.7,eFG
L,1.8,eFG
W,24.2,eFG
W,1.8,eFG
L,-3.9,eFG
W,23.1,eFG
L,-11.5,eFG
L,-19.4,eFG
W,8.7,eFG
L,-8,eFG
L,8.3,eFG
W,15.6,eFG
W,-0.8,eFG
W,17.1,eFG
W,3,eFG
W,12.5,eFG
W,-5.5,eFG
L,-16,eFG
W,14.4,eFG
W,13.1,eFG
W,22.8,eFG
W,5.2,eFG
W,11.4,eFG
L,-13.5,eFG
W,24.5,eFG
L,-4.6,eFG
W,13.3,eFG
W,8,eFG
L,5.3,eFG
W,11,eFG
W,12.5,eFG
W,9.3,eFG
L,-0.1,eFG
W,-7.3,eFG
L,-12.4,eFG
L,6.5,eFG
W,-4.8,eFG
W,3.1,eFG
W,-1.6,eFG
W,11.9,eFG
W,2.3,eFG
W,6.5,eFG
W,5.4,eFG
W,-4.2,eFG
W,10.3,eFG
W,0.4,eFG
W,2.9,eFG
W,22.9,eFG
L,-11.2,eFG
W,1.2,eFG
L,2.9,eFG
L,-12.4,eFG
L,-10,eFG
W,21,eFG
W,15.8,eFG
W,-1.4,eFG
L,-0.4,eFG
W,5.6,eFG
W,5.3,eFG
W,4.7,eFG
L,10.5,eFG
W,9.8,eFG
W,-0.1,eFG
L,-9.4,eFG
W,6.5,eFG
W,20.9,eFG
L,-14,eFG
W,12.7,eFG
L,-5.2,eFG
W,2.5,eFG
W,9.1,eFG
L,-25.5,eFG
W,9.3,eFG
W,23.1,eFG
W,11.4,eFG
W,2.4,eFG
W,-4.1,eFG
W,-9.6,eFG
L,-8.3,eFG
L,-24.4,eFG
W,13.4,eFG
W,-0.5,eFG
W,3.1,eFG
L,-2.5,eFG
W,8.4,eFG
W,-1.4,eFG
W,-4,eFG
L,-10.7,eFG
L,-10.9,eFG
W,1.1,eFG
W,18.4,eFG
L,-11,eFG
W,6,eFG
W,10.5,eFG
W,10,eFG
L,-11.6,eFG
W,23.2,eFG
L,-10.1,eFG
W,27,eFG
W,6.8,eFG
W,12.7,eFG
W,1.7,eFG
L,-3.9,eFG
W,4.5,eFG
W,9.8,eFG
W,3.3,eFG
L,-25.8,eFG
W,1.7,eFG
W,11.4,eFG
W,11.6,eFG
W,2.5,eFG
W,-4.7,eFG
W,16,eFG
W,10.2,eFG
W,-3.4,eFG
W,-3.1,eFG
L,-4.8,eFG
W,2.8,eFG
W,2.3,eFG
W,10.1,eFG
W,7.6,eFG
W,2.2,eFG
L,-17.4,eFG
W,1.9,eFG
W,0.8,eFG
W,14.8,eFG
W,12.2,eFG
W,5.5,eFG
W,13,eFG
W,6.8,eFG
W,3.8,eFG
W,23.5,eFG
L,3.2,eFG
W,3.4,eFG
L,-7.3,eFG
W,2.2,eFG
W,23.3,eFG
W,5.5,eFG
W,15.1,eFG
W,19.1,eFG
L,-12.9,eFG
W,7.2,eFG
W,-1.3,eFG
W,11.8,eFG
L,-22.3,eFG
W,-4.3,eFG
W,9.8,eFG
W,15.3,eFG
W,0.2,eFG
W,1.3,eFG
W,0.8,eFG
W,5,eFG
W,-4.2,eFG
W,-2.2,eFG
L,-3,eFG
W,12.3,eFG
W,20.5,eFG
W,11.4,eFG
W,-3.5,eFG
W,7.8,eFG
L,-25.3,eFG
W,-4.8,eFG
W,-7.3,eFG
W,31.6,eFG
W,17.5,eFG
W,6.7,eFG
L,-1.6,eFG
W,7.3,eFG
W,12.1,eFG
W,-3.8,eFG
L,-6.2,eFG
W,3.9,eFG
W,8,eFG
L,-10.8,eFG
L,-8.2,eFG
W,19.6,eFG
W,8.7,eFG
L,-5.7,eFG
W,-4.3,eFG
W,9.7,eFG
W,1.4,eFG
W,-0.4,eFG
L,-12.5,eFG
L,-18.2,eFG
W,4.7,eFG
W,8.8,eFG
L,-9,eFG
L,-5,eFG
L,-15.2,eFG
W,0.3,eFG
L,0.4,eFG
L,-19,eFG
L,5.4,eFG
L,-14.8,eFG
W,11.2,eFG
L,-16.6,eFG
L,-3.7,eFG
L,-6.6,eFG
W,19.8,eFG
L,-13.3,eFG
W,5.3,eFG
W,3.3,eFG
W,14.3,eFG
L,7.3,eFG
W,10.4,eFG
L,-6,eFG
W,18,eFG
W,5.3,eFG
W,8.3,eFG
L,-19.7,eFG
W,8.2,eFG
W,9.2,eFG
W,34.5,eFG
W,16.4,eFG
W,3.6,eFG
W,13.1,eFG
W,9.6,eFG
W,8.4,eFG
W,7,eFG
W,17.6,eFG
L,-15.4,eFG
W,-1.6,eFG
W,6.5,eFG
W,1.3,eFG
W,5,eFG
L,-14.2,eFG
W,-4.6,eFG
W,0,eFG
W,5.4,eFG
W,4.1,eFG
W,12.9,eFG
W,10.5,eFG
W,-8.1,eFG
W,14.9,eFG
W,9.1,eFG
W,13.2,eFG
L,-13.3,eFG
W,23,eFG
L,-9,eFG
W,19.4,eFG
W,1,eFG
W,3.6,eFG
W,6.7,eFG
W,5.1,eFG
W,14.2,eFG
W,37.5,eFG
W,8.7,eFG
W,22.2,eFG
W,18.8,eFG
W,0.7,eFG
W,-1.4,eFG
W,3.3,eFG
L,-17.5,eFG
W,-2.2,eFG
W,14.1,eFG
W,22.1,eFG
W,17,eFG
W,3.7,eFG
W,0.2,eFG
W,-0.3,eFG
W,4.6,eFG
W,12,eFG
W,-1.5,eFG
W,8.8,eFG
W,0.6,eFG
W,25.1,eFG
W,13.7,eFG
W,-2.4,eFG
L,-12.5,eFG
W,2.4,eFG
W,6.1,eFG
W,-5.9,eFG
L,-9.2,eFG
W,-1.5,eFG
W,12.7,eFG
W,-11.5,eFG
W,-1,eFG
W,14.2,eFG
W,15.4,eFG
W,16.3,eFG
W,16.8,eFG
W,-9.1,eFG
W,4.7,eFG
W,8.7,eFG
W,-2.5,eFG
W,7.2,eFG
W,-3.6,eFG
W,13,eFG
W,14,eFG
W,4.1,eFG
W,8.2,eFG
L,-24.9,eFG
W,-6.4,eFG
W,9.1,eFG
W,17.7,eFG
W,3.1,eFG
W,10.7,eFG
W,21.5,eFG
W,3.9,eFG
L,-7.7,eFG
L,0.4,eFG
W,4,eFG
W,0,eFG
L,0.8,eFG
W,18.6,eFG
W,4.9,eFG
L,-18.2,eFG
W,23.7,eFG
W,19.8,eFG
W,24.2,eFG
W,6.9,eFG
W,17.4,eFG
L,-9.5,eFG
W,-11.6,eFG
W,12.5,eFG
W,13.7,eFG
W,23.9,eFG
W,24.6,eFG
W,10.8,eFG
W,31.2,eFG
W,13.6,eFG
W,19.5,eFG
W,-5.1,eFG
W,-2.9,eFG
W,11.7,eFG
L,-16.9,eFG
W,24,eFG
W,7.6,eFG
W,11.8,eFG
L,0.7,eFG
W,7.1,eFG
L,-12.3,eFG
W,22.5,eFG
W,1.4,eFG
W,33.3,eFG
W,16.5,eFG
W,10.9,eFG
W,7.5,eFG
W,-6.7,eFG
W,10.5,eFG
L,-12.8,eFG
W,10.1,eFG
W,15.6,eFG
W,17.1,eFG
L,-2.3,eFG
W,11.4,eFG
L,-0.2,eFG
L,4.3,eFG
W,12.2,eFG
W,12.1,eFG
W,12.3,eFG
W,15.8,eFG
L,-15.1,eFG
W,17.8,eFG
W,5.9,eFG
W,-5.6,eFG
L,-6.6,eFG
W,4.9,eFG
W,23.4,eFG
W,1.2,eFG
W,13.5,eFG
