Stat,Season,Value
Continuity,2010,30.5
Continuity,2011,34.8
Continuity,2012,70.2
Continuity,2013,34
Continuity,2014,55.9
Continuity,2015,65.6
Continuity,2016,75.7
Continuity,2017,64.4
Continuity,2018,40.8
Continuity,2019,59.2
Continuity,2020,24.3
StartingLineups,2010,8
StartingLineups,2011,3
StartingLineups,2012,5
StartingLineups,2013,7
StartingLineups,2014,7
StartingLineups,2015,6
StartingLineups,2016,6
StartingLineups,2017,6
StartingLineups,2018,4
StartingLineups,2019,2
StartingLineups,2020,10
