Opponent,Factor,Value
Syracuse,efg,35
Syracuse,efg,60.2
Syracuse,efg,47.6
Syracuse,efg,49.1
Syracuse,efg,50.8
Syracuse,efg,56.6
Syracuse,efg,56.9
Syracuse,efg,45.6
Syracuse,efg,54.9
Syracuse,efg,63.4
Syracuse,efg,41.2
Syracuse,efg,41.3
Syracuse,to,25.4
Syracuse,to,14.3
Syracuse,to,12.5
Syracuse,to,16.7
Syracuse,to,12.3
Syracuse,to,13.3
Syracuse,to,18.1
Syracuse,to,18.4
Syracuse,to,13.1
Syracuse,to,25.1
Syracuse,to,23.4
Syracuse,to,24.1
Syracuse,or,33.3
Syracuse,or,40.6
Syracuse,or,51.4
Syracuse,or,41.7
Syracuse,or,39.5
Syracuse,or,50
Syracuse,or,51.6
Syracuse,or,46.3
Syracuse,or,32.3
Syracuse,or,39.3
Syracuse,or,29.4
Syracuse,or,43.5
Syracuse,ft,21.7
Syracuse,ft,26.6
Syracuse,ft,59.7
Syracuse,ft,49.1
Syracuse,ft,23.1
Syracuse,ft,22.1
Syracuse,ft,16.9
Syracuse,ft,27.9
Syracuse,ft,32.8
Syracuse,ft,53.6
Syracuse,ft,17.6
Syracuse,ft,41.3
