Year,Pick,Player
1986,1,BradDaugherty
1982,1,JamesWorthy
2005,2,MarvinWilliams
1978,2,PhilFord
1995,3,JerryStackhouse
1984,3,MichaelJordan
1998,4,AntawnJamison
1995,4,RasheedWallace
1984,4,SamPerkins
1981,4,AlWood
2005,5,RaymondFelton
1998,5,VinceCarter
1989,5,JRReid
1977,5,WalterDavis
1987,6,KennySmith
1980,6,MikeOKoren
2019,7,CobyWhite
2012,7,HarrisonBarnes
2007,8,BrandanWright
1994,9,EricMontross
1977,9,TommyLaGarde
2019,11,CameronJohnson
1993,12,GeorgeLynch
2012,13,KendallMarshall
2010,13,EdDavis
2009,13,TylerHansbrough
2005,13,SeanMay
1987,13,JoeWolf
1979,13,DudleyBradley
1976,13,MitchKupchak
2012,14,JohnHenson
2005,14,RashadMcCants
2017,15,JustinJackson
1994,16,CliffordRozier
2012,17,TylerZeller
2009,18,TyLawson
1992,20,HubertDavis
2001,20,BrendanHaywood
2001,21,JosephForte
1991,24,RickFox
2019,25,NassirLittle
2016,25,BriceJohnson
2013,25,ReggieBullock
2014,26,PJHairston
1991,27,PeteChilcutt
2017,28,TonyBradley
2009,28,WayneEllington
