Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
1,ATL,2004,2004-09-26,1:05,1:05,,ARI,3,3,Sun,W 6-3,,10,20,50.0,89,0,1,6,26,46.9,0,,,2,2,0,,
2,BUF,2007,2007-12-02,1:02,1:02,@,WAS,13,12,Sun,W 17-16,,22,36,61.1,257,0,0,0,0,82.8,0,,,5,5,0,,1
3,BUF,2020,2020-10-25,1:00,1:00,@,NYJ,7,7,Sun,W 18-10,,30,43,69.8,296,0,0,2,11,90.0,0,,,8,6,0,,
4,CAR,2003,2003-09-14,4:05,4:05,@,TAM,2,2,Sun,W 12-9,OT,9,23,39.1,87,0,2,1,9,15.9,0,,,4,4,0,,
5,CAR,2017,2017-09-17,1:00,1:00,,BUF,2,2,Sun,W 9-3,,20,32,62.5,178,0,0,6,50,83.9,0,,,3,3,0,,
6,CIN,2007,2007-11-11,4:05,4:05,@,BAL,10,9,Sun,W 21-7,,23,34,67.6,256,0,0,3,15,91.7,0,,,7,7,0,,
7,CIN,2010,2010-09-19,1:02,1:02,,BAL,2,2,Sun,W 15-10,,16,35,45.7,159,0,0,1,8,60.1,0,,,5,5,0,,
8,CLE,2005,2005-12-18,4:05,1:05,@,OAK,15,14,Sun,W 9-7,,21,32,65.6,185,0,1,2,13,69.5,0,,,3,3,0,,
9,CLE,2007,2007-12-16,1:03,1:03,,BUF,15,14,Sun,W 8-0,,9,24,37.5,130,0,0,1,7,57.1,0,,,2,2,0,,1
10,CLE,2009,2009-10-11,1:01,1:01,@,BUF,5,5,Sun,W 6-3,,2,17,11.8,22,0,1,1,1,15.1,0,,,2,2,0,,
11,CLE,2011,2011-10-23,1:05,1:05,,SEA,7,6,Sun,W 6-3,,20,35,57.1,159,0,1,4,19,59.0,0,,,4,2,0,,
12,IND,2003,2003-09-07,1:06,1:06,@,CLE,1,1,Sun,W 9-6,,27,43,62.8,204,0,2,1,7,55.5,0,,,3,3,0,,
13,IND,2006,2007-01-13,4:35,4:35,@,BAL,19,18,Sat,W 15-6,,15,30,50.0,161,0,2,1,9,39.6,0,,,5,5,0,,
14,ARI,2002,2002-10-20,4:15,1:15,,DAL,7,6,Sun,W 9-6,OT,23,46,50.0,228,0,0,1,4,64.8,0,,,6,3,0,,
15,ARI,2004,2005-01-02,4:06,2:06,,TAM,17,16,Sun,W 12-7,,16,36,44.4,115,0,1,0,0,40.9,0,,,6,4,0,,
16,ARI,2014,2014-12-11,8:25,7:25,@,STL,15,14,Thu,W 12-6,,16,30,53.3,131,0,0,1,8,65.8,0,,,4,4,0,,
