season,opponent,result,pace,ppp,oppp,efg,oefg,to,oto,or,oor,ft,oft,LABEL
2010,Clemson,L,78,0.82,1.06,46.7,53.3,34.6,17.9,37.8,22.6,16.4,32.8,
2010,FIU,W,84,1.05,0.86,59,42.6,31.1,23.9,42.9,28.9,31.1,25,
2010,NC Central,W,72,1.23,0.58,63.6,29.1,26.3,27.7,53.6,26.2,32.2,32.7,
2010,Virginia Tech,L,73,0.96,1.01,47.2,41.8,26,13.7,37.7,34.9,56.6,32.8,
2010,Ohio State,W,73,1.05,1,55.7,47.5,26,21.9,30.6,39.7,47.2,36.1,
2010,Virginia Tech,W,70,1.11,0.91,58.6,38.8,25.6,17.1,36.8,38.2,42.3,26.9,
2010,Duke,L,64,0.78,1.28,34.4,52.6,25,14.1,32.8,46,54.2,40.4,
2010,Georgia Tech,L,76,0.67,0.89,34.8,50,24.9,26.2,27.3,30.8,40.7,42.9,
2010,UVA,L,68,0.88,1.1,43.8,58.6,24.8,24.8,42.3,28.9,39.3,34.6,
2010,Georgia Tech,L,70,1.01,1.04,44,47.7,24.3,18.6,43.8,38.3,41.4,23.1,
2010,Syracuse,L,75,0.95,1.16,41.3,61,24.1,20.1,43.5,35.6,41.3,14.7,
2010,UAB,W,63,0.96,0.88,44.3,34.6,23.9,19.1,37.7,35.4,37.7,50,
2010,Miami,W,71,0.97,0.87,45.6,40.9,23.8,11.2,42.4,17.8,40.4,18.2,
2010,Dayton,L,69,0.98,1.14,50.9,56.6,21.7,15.9,27.2,34.3,25.4,26.2,
2010,Kentucky,L,74,0.89,0.92,44,50,21.7,27.1,34.9,33.3,19.4,40.7,
2010,Michigan State,W,78,1.14,1.05,62.3,44.3,21.7,14,34.9,38.9,52.6,20.2,
2010,Albany,W,84,1.04,0.84,53,47.7,21.5,31,34.2,30.4,40.9,20.3,
2010,Rutgers,W,74,1.09,0.9,48.3,45,21.5,17.5,44.7,31.7,59.3,12.9,
2010,Rhode Island ,W,71,0.86,0.84,36.1,40.4,21.4,21.4,47.3,32,19.3,26.5,
2010,Marshall,W,83,1.18,0.73,52.8,38.5,20.5,21.7,49.4,29.5,40.9,5.1,
2010,Florida State,L,69,0.98,1.12,48,57,20.4,21.8,27.5,33.9,56,31.6,
2010,Gardner Webb,W,82,1.14,0.88,56.8,48.5,19.6,27,46,26.7,50,10.1,
