factor,value
eFG,47
eFG,42.5
eFG,59.8
eFG,33.6
eFG,44.1
eFG,50
eFG,61.9
eFG,47.4
eFG,47.3
eFG,51.5
eFG,50
eFG,56
eFG,55
eFG,37.3
eFG,57.3
eFG,62.8
eFG,53.1
eFG,42.5
eFG,51.7
eFG,55.9
eFG,49.2
eFG,44.1
eFG,35.5
eFG,46.7
TORate,16.7
TORate,22.6
TORate,23.7
TORate,22
TORate,21.5
TORate,10.3
TORate,19.8
TORate,10.8
TORate,17
TORate,14.5
TORate,26
TORate,24.2
TORate,19.9
TORate,18.3
TORate,15.7
TORate,18.5
TORate,18.2
TORate,22.9
TORate,21.1
TORate,14
TORate,16.1
TORate,18.3
TORate,23.6
TORate,20.5
ORRate,32.5
ORRate,32.9
ORRate,26.7
ORRate,35.6
ORRate,20.5
ORRate,17.1
ORRate,29.4
ORRate,11.4
ORRate,32.4
ORRate,18.9
ORRate,26.3
ORRate,36
ORRate,29.4
ORRate,27.9
ORRate,10
ORRate,6.9
ORRate,30.8
ORRate,37.8
ORRate,18.8
ORRate,30.4
ORRate,21.1
ORRate,17.6
ORRate,28.6
ORRate,20
FTRate,21.2
FTRate,29.9
FTRate,35.7
FTRate,17.9
FTRate,22
FTRate,39.6
FTRate,10.4
FTRate,21.1
FTRate,30.9
FTRate,19.7
FTRate,28.8
FTRate,54
FTRate,20
FTRate,34.9
FTRate,10.9
FTRate,31.4
FTRate,31.2
FTRate,56.6
FTRate,13.8
FTRate,18.4
FTRate,23.3
FTRate,47.1
FTRate,24.2
FTRate,16.7
